,Headlines,Inclination,Source
372,Trump Says A Government Shutdown Would ‘Last For A Very Long Time’,left,HuffPost
373,Trump threatens 'very long' shutdown unless he gets money for border wall – live updates,left,The Guardian
374,"James Mattis, the last “adult” in the Trump administration, resigns as defense secretary",left,Vox
375,Dems aim to bring big-government programs to floor vote with 2019 House takeover,right,Fox News
377,"Post-Holiday, Partial Government Shutdown to Gain Impact",right,Newsmax
378,"Ideology Is Out, Identity Is In",right,Reason
379,A Gift Worth Keeping,right,American Spectator
380,GALLUP: This Is Why Trump's Approval Ratings Are Unprecedented and Stable,right,Townhall
381,Trump insists on steel slatted fence with funding counteroffer to Democrats,right,Washington Times
382,'Made-up fight': Bob Corker blasts Trump over border wall stalemate,right,Washington Times
383,"'Very possible' partial government shutdown will last into the new year, Mulvaney says",right,Fox News
385,OPINION: President Trump Will Win The Shutdown Showdown,right,Guest Writer - Right
386,Shutdown Countdown: House GOP Approves Border Wall Funds After Trump Holds Firm,right,CBN
387,"Trump backs call to nuke filibuster in drive to pass border wall $$, as shutdown looms",right,Fox News
388,Who Do You Want on Your Side When Trump Is Gone?,right,National Review
390,Trump 'very happy' with Treasury chief Mnuchin: White House adviser,center,Reuters
393,Trump Urges Buying the Dip After Stocks Sink on D.C. Dysfunction,center,Bloomberg
394,Trump Says Only Funding for Border Wall Will End Shutdown,center,Wall Street Journal - News
395,Stocks Extend Fall Despite Mnuchin Bid to Reassure Investors,center,Wall Street Journal - News
396,"Trump blasts Fed as 'only problem' in U.S. economy, crisis group convenes",center,Reuters
397,Trump’s week of tumult shakes many in GOP,center,The Hill
398,"Trump Won’t Try to Fire Fed Chairman Powell, Treasury Secretary Says",center,Wall Street Journal - News
399,US shutdown looks set to drag through Christmas,center,BBC News
400,Mattis’s Exit Takes Leash Off Trump’s ‘America First’ Doctrine,center,Bloomberg
401,Trump vows 'very long' government shutdown over border wall,center,BBC News
402,"After chaotic day, Donald Trump defends wall plan and warns of lengthy government shutdown",center,USA TODAY
403,"Syria, Mattis, Afghanistan, shutdown: Trump ends year in chaos",center,Reuters
404,"Shutdown looms as Trump, GOP dig in on wall",center,The Hill
