,Headlines,Inclination,Source
379,OPINION: America Needs Virtue before Prosperity,right,Ben Shapiro
380,Trump on unprecedented collision course with retired military commanders: 'It's not normal',right,Washington Times
381,RBG to Miss All Oral Arguments Today,right,Townhall
382,Recession on the Horizon? Why This Economist Says the Fed Is a 'Villain' That's Causing a Disaster,right,CBN
383,OPINION: Tucker Carlson Thinks the Problem With America Is Market Capitalism,right,Guest Writer - Right
384,OPINION: The Health of Nations,right,Guest Writer - Right
385,"Trump cites unlikely allies Clinton, Obama amid border wall showdown",right,Fox News
386,House Democrats to pass piecemeal spending bills as next shutdown gambit,right,Washington Times
387,Rep. Adam Smith says Trump wall declaration wide open to court challenge: 'Where is the emergency?',right,Washington Times
390,"Pelosi cranks up shutdown pressure on Trump, GOP",center,The Hill
391,US government shutdown: Trump to make border wall speech,center,BBC News
392,Trump to press U.S. border 'crisis' in televised address,center,Reuters
393,President Trump could declare a national emergency. But would that get him funds for a wall?,center,USA TODAY
394,When Is It Legal to Declare a National Emergency?,center,Wall Street Journal - News
395,"News Posts With Moral and Emotional Language Spread Quickly, But Deepen Polarization",center,AllSides
396,Rep. Alexandria Ocasio-Cortez: 'No question' President Donald Trump is racist,center,USA TODAY
397,Trump Has Four Days Before Many Federal Workers Start Missing Paychecks,center,Bloomberg
398,White House Adds To List Of Border Demands As Shutdown Continues,center,NPR News
401,"US withdrawal from Syria depends on conditions, John Bolton says",center,USA TODAY
402,President Trump says border wall fight is 'very important battle to win',center,USA TODAY
404,US Shutdown Talks Set to Resume ,center,BBC News
