,Headlines,Inclination,Source
372,Mitch McConnell Is Spending the Shutdown Confirming More Trump Judges,left,Slate
373,"OPINION: With votes scheduled, Washington searches for way out of shutdown",left,Guest Writer - Left
374,The silent majority of Democratic House freshmen,left,Vox
376,Shutdown Day 35: Are GOP Cracks Forming in Trump's Wall? ,right,CBN
377,FAA Orders Ground Stop at LaGuardia Due to 'Staffing Shortages',right,Townhall
378,Trump unbowed as Senate rejects dueling bids to end shutdown: 'We have to have the wall',right,Washington Times
379,Who’s at Fault in the Shutdown Fight?,right,National Review
380,"Huffington Post shutters opinion, health sections",right,Washington Examiner
381,New Poll: Medicare for All Is Popular Until You Explain How It Works,right,Reason
385,"Fear, Loathing, and the Twitter Insta-Mob",right,National Review
386,"White House announces 51 judicial picks, including two for liberal 9th Circuit",right,Fox News
387,OPINION: Factually Incorrect Cannot Be Morally Correct,right,Ben Shapiro
388,"Defying Pelosi, Trump Proceeds with State of the Union Plans",right,CBN
389,OPINION: Nancy Pelosi has every right to postpone Trump's State of the Union,right,Guest Writer - Right
390,Trump Just Lost His Leverage for Building a Wall,center,Bloomberg
391,"Roger Stone: Trump ally, political strategist and Nixon fan",center,BBC News
392,FAA: Flights delayed at 3 major airports due to 'staffing' issues amid government shutdown,center,USA TODAY
393,Trump campaign ex-chief Manafort to dispute breach of plea deal,center,Reuters
394,Roger Stone indicted in Mueller probe,center,The Hill
395,Media Misfires on Covington Catholic Story,center,AllSides
396,Covington Catholic: Rally held at diocese as incident seen as 'opportunity for growth',center,USA TODAY
398,Venezuela crisis: Russia condemns bid to 'usurp power' from Maduro,center,BBC News
399,"Republican Sen. Cory Gardner to vote for Democratic bill to end shutdown, report says",center,The Hill
400,GOP seeks to chip away at Dem unity with shutdown votes,center,The Hill
401,Senate Prepares Votes on Measures to End Shutdown,center,Wall Street Journal - News
402,VIDEO: How AllSides Spots Media Bias,center,AllSides
403,Momentum for earmarks grows with Dem majority,center,The Hill
404,"Delaying Brexit won't solve anything, Theresa May tells MPs",center,BBC News
